GB_ACC,logFC,P.Value,adj.P.Val,direction,Gene_Symbol
AV722518,-0.0812687694820498,0.0068413045170314,0.0273536981908365,ns,SLC1A2
BE618393,-0.0812644469319213,0.402282345696272,0.554080495965057,ns,RBAK
AF289576,-0.0812574602148453,0.015785187793033,0.052253391983326,ns,NA
AW149379,-0.0812536702744149,0.210517083573254,0.35222479351693,ns,RBFOX2
X69936,-0.0812451784301529,9.57826135693433e-09,3.09159330665635e-07,ns,GAD2
AK000995,-0.0812421094427092,0.213224506426471,0.355531248404478,ns,BTBD18
AF151037,0.0812388001409925,0.567848182086682,0.69618031986271,ns,COX16
AI369073,-0.0812325089153232,0.829273168394824,0.889650724505237,ns,FRG1
NM_006180,0.0812251447563694,0.156356760678068,0.284988544902424,ns,NTRK2
BC038589,0.0812205046795014,0.086418814446999,0.185664465515104,ns,NA
H65902,0.0812195116387171,0.511281971210619,0.649951776881424,ns,PDCD2
AW450363,-0.0812192434560099,0.868054285091921,0.916680498718484,ns,ARL4C
BF508685,0.0812134822556727,0.310649646131887,0.464703896562898,ns,CTRL
BC035075,-0.0812071197138682,0.24307847149675,0.390666683259822,ns,NPAS3
BC005934,-0.081198931611703,0.76154500673588,0.841669515782301,ns,SIKE1
NM_001190,-0.0811909623980203,0.761706628354014,0.841762967569109,ns,BCAT2
AA195408,0.0811795476860118,0.12886534945646,0.247682453365697,ns,NR2F2
BF666401,0.0811716618550959,0.0765577763875674,0.169781931367426,ns,ZNF557
NM_001518,-0.081159287272607,0.500162071406001,0.640558853872756,ns,GTF2I
NM_003291,0.0811584151110001,0.664833530824348,0.770947715706432,ns,TPP2
NM_000377,-0.0811573699000663,0.127002485961167,0.245235186005629,ns,WAS
AA156605,-0.0811566092141009,0.600357372536919,0.721678930849595,ns,BCL2L13
AI767210,-0.081105204462006,0.654259632196156,0.763142207409681,ns,MFSD9
AI017983,0.0810421652521405,0.264859937366879,0.415404375503787,ns,NA
J03208,0.0810391724627504,0.148525670612614,0.274377852354858,ns,DBT
BU430052,-0.0810093817876218,8.061795149768e-06,9.07417185726051e-05,ns,FGD2
AI831456,-0.0809799382892953,0.292654862654364,0.445326275122396,ns,FAM71F1
BG222606,0.0809737798187302,0.0942633090566926,0.197756687827027,ns,LSM14B
AI381524,-0.0809711332506984,0.261548915358908,0.411744355351472,ns,NAP1L4
AF332216,-0.0809694639094602,0.0111907323848724,0.04019199445844,ns,PCDH11X
BF510098,-0.0809637220751025,0.510722148229224,0.649407885477127,ns,PPP1R1A
AF323084,0.08092870158417,2.98525712620702e-10,2.23028519060936e-08,ns,RETNLB
AI276857,-0.0809278127320039,0.294944697804166,0.447946012698998,ns,RP5-1068B5.3
AI588962,0.0809226793934612,0.375146234590715,0.528896437764997,ns,AC139100.2
NM_018546,0.0809200632193072,8.57069389521765e-10,4.76651024133932e-08,ns,PRO2958
AI698001,-0.0809086945332047,0.54629526215439,0.678613847449844,ns,RP11-356B19.11
R38095,-0.0809006546423923,0.00315564923892149,0.0146137091397625,ns,GSG1L
BF510789,-0.0808962612670214,0.30001191109047,0.453639473403396,ns,ADPRH
NM_016234,0.080879422262834,0.830122827589007,0.890242708892643,ns,ACSL5
AI275690,0.0808667421702882,0.62183881310488,0.738608562606773,ns,MCL1
AK024443,-0.0808646248517029,0.0142931150661225,0.0484877085961904,ns,PNPLA7
NM_024663,-0.0808524063786296,0.846764956931719,0.901924494235016,ns,LOC100652930
X93921,-0.0808395991580633,0.031417670800269,0.0874433419332937,ns,DUSP7
BU623055,-0.0808322193457038,0.451240307849637,0.598203391897083,ns,NA
BC037939,-0.0808262216210487,0.00127686226732055,0.00692829398958541,ns,NA
NM_001586,-0.0808134904362912,0.472648410688264,0.617372117623958,ns,TEX28
BG338532,-0.0807953656629978,0.702021031702273,0.798955438021886,ns,SUMO3
AF393369,-0.0807707282634396,0.000409572071311086,0.00263866456653443,ns,AP1S3
AW205775,0.080768160460007,0.00185795664362541,0.00945476949108411,ns,NA
AA809449,-0.080765625389323,0.0699462915373296,0.159023924270505,ns,NA
BF241405,0.0807323542717602,0.480446138747213,0.624074897141127,ns,EXOSC3
BC021680,0.080726834868952,0.854740824587365,0.907499526676577,ns,C5orf46
R15004,-0.080715472237864,0.280139931345838,0.431788254382451,ns,CACNA1E
AF070541,-0.0807071682711586,0.408095142034589,0.559729267967628,ns,ASXL3
BF109557,0.0807043641645251,0.0096750155363407,0.0359245169142981,ns,FBXO10
AF118091,0.0806992610234349,0.688752255659339,0.789059988994065,ns,NA
AI420977,0.0806982786878239,2.62238621169883e-06,3.43444551989228e-05,ns,VSTM2A
AI346522,0.0806896701566209,0.0288924061812041,0.0821866231977759,ns,C2CD4B
AW629462,-0.0806556240955179,0.0057178524277346,0.0237142371382039,ns,ZBTB46
AJ249976,0.0806519887294912,0.476034847200356,0.620233111703241,ns,PRKAG2
AF130112,0.0806408226726647,4.61840270560555e-06,5.6223005114422e-05,ns,NA
BC044661,0.0806314570613362,0.653879384623985,0.762894204799712,ns,TTC40
Z98752,0.0806278568295662,0.313283692262162,0.467239125171049,ns,L3MBTL1
NM_005722,0.0806000414034074,0.675729871387171,0.779314006547864,ns,ACTR2
NM_012234,-0.0805961602764595,0.855524632377897,0.908044667003444,ns,RYBP
BE220569,-0.0805786615286483,0.66052033936849,0.767683540585697,ns,NA
BC008618,0.080530355399925,0.164584321055631,0.295653033544213,ns,NA
AI637948,0.0805254462760865,0.220279997736184,0.364020561497404,ns,NA
BG538931,-0.0805190201331376,0.759179255697841,0.839901176726962,ns,SMIM7
AL512747,-0.0805175564890726,0.62947473666359,0.744230684824399,ns,HIVEP3
AL134612,0.0805140812852487,0.159835550060132,0.289724149338976,ns,C1orf95
AK027174,0.0805055077047059,0.183736669439381,0.319842244225701,ns,NA
BF061326,-0.0804733450383655,0.447631355469096,0.594978855535284,ns,NA
AF262032,-0.0804607144718679,0.041988891852734,0.108489348098281,ns,MAB21L2
AW614107,-0.0804482130811492,3.13727972055551e-05,0.000292382691772522,ns,LOC102724487
AL831884,-0.0804475299595433,0.751774965765135,0.834468531235774,ns,NA
NM_002506,0.0804421735725447,0.0311235824332743,0.0868860710232792,ns,NGF
